File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\createarticle.aspx,144,81,4,0,63,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editaccount.aspx,138,105,0,0,33,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\footer.aspx,53,31,0,0,22,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\header.aspx,23,16,0,0,7,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\menu.aspx,30,28,0,0,2,1,0,1,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\viewarticle.aspx,89,54,0,0,35,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\viewindividual.aspx,183,141,0,0,42,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\authorhome.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\createarticle.aspx.cs,135,71,51,4,61,0,3,6,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editaccount.aspx.cs,57,38,30,1,18,0,1,1,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\header.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\viewarticle.aspx.cs,27,21,15,0,6,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\viewindividual.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\admin.aspx,76,33,0,0,43,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\ads.aspx,11,6,0,0,5,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\approvearticles.aspx,91,47,0,0,44,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\approveindividual.aspx,184,141,0,0,43,0,0,0,0,0
